unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1673949600,2023-01-17 10:00:00,ETH/USD,1565.4,1565.4,1558.8,1562.6,381.6659857,596391.26925482
1673964000,2023-01-17 14:00:00,ETH/USD,1570.6,1607.7,1567.5,1581.5,1306.57138245,2066342.641344675
1673978400,2023-01-17 18:00:00,ETH/USD,1579.8,1599.1,1575.6,1596.0,663.69880913,1059263.29937148
1673992800,2023-01-17 22:00:00,ETH/USD,1581.1,1581.9,1573.8,1574.5,87.43206933,137661.793160085
1674007200,2023-01-18 02:00:00,ETH/USD,1581.0,1587.5,1570.7,1584.6,364.0144103,576817.23456138
1674021600,2023-01-18 06:00:00,ETH/USD,1587.8,1588.0,1580.7,1581.5,124.15375356,196349.16125514
1674036000,2023-01-18 10:00:00,ETH/USD,1578.6,1579.5,1572.5,1573.7,112.78167752,177484.525913224
1674050400,2023-01-18 14:00:00,ETH/USD,1595.1,1611.6,1587.5,1593.9,1379.97081046,2199535.474792194
1674064800,2023-01-18 18:00:00,ETH/USD,1541.1,1554.1,1536.0,1542.4,1625.99542456,2507935.342841344
1674079200,2023-01-18 22:00:00,ETH/USD,1528.2,1531.1,1518.3,1531.1,786.78464951,1204645.976864761
1674093600,2023-01-19 02:00:00,ETH/USD,1517.9,1525.9,1514.4,1524.2,423.03223291,644785.7294014221
1674108000,2023-01-19 06:00:00,ETH/USD,1528.1,1531.5,1525.5,1530.5,547.5201982,837979.6633451
1674122400,2023-01-19 10:00:00,ETH/USD,1527.4,1528.8,1522.5,1524.3,152.73273043,232810.500994449
1674136800,2023-01-19 14:00:00,ETH/USD,1524.9,1537.6,1519.8,1533.3,808.32222091,1239400.4613213032
1674151200,2023-01-19 18:00:00,ETH/USD,1529.2,1543.3,1528.2,1539.3,445.80390571,686225.952059403
1674165600,2023-01-19 22:00:00,ETH/USD,1545.2,1552.2,1544.6,1551.5,261.82969747,406228.77562470495
1674180000,2023-01-20 02:00:00,ETH/USD,1556.3,1563.7,1553.7,1553.7,217.34102124,337682.744700588
1674194400,2023-01-20 06:00:00,ETH/USD,1546.3,1549.0,1543.4,1545.1,177.57890221,274377.161804671
1674208800,2023-01-20 10:00:00,ETH/USD,1552.2,1553.1,1548.5,1552.6,127.40706462,197812.208529012
1674223200,2023-01-20 14:00:00,ETH/USD,1553.9,1568.0,1551.8,1560.4,1647.67395435,2571030.4383677403
1674237600,2023-01-20 18:00:00,ETH/USD,1592.2,1598.9,1584.1,1592.1,1333.22911353,2122634.0716511128
1674252000,2023-01-20 22:00:00,ETH/USD,1637.2,1671.3,1636.1,1651.5,3441.4043738,5683479.3233307
1674266400,2023-01-21 02:00:00,ETH/USD,1652.8,1657.4,1643.7,1648.7,727.02542427,1198646.816993949
1674280800,2023-01-21 06:00:00,ETH/USD,1645.7,1654.4,1645.1,1653.2,1141.0227723,1886338.84716636
1674295200,2023-01-21 10:00:00,ETH/USD,1662.6,1680.0,1619.2,1641.5,4166.65362427,6839561.924239205
1674309600,2023-01-21 14:00:00,ETH/USD,1651.1,1654.3,1647.1,1649.4,334.28324827,551366.789696538
1674324000,2023-01-21 18:00:00,ETH/USD,1656.6,1662.3,1651.2,1661.7,415.10347765,689777.448811005
1674338400,2023-01-21 22:00:00,ETH/USD,1662.6,1662.6,1625.0,1625.0,506.35226368,822822.42848
1674352800,2023-01-22 02:00:00,ETH/USD,1624.8,1625.7,1604.3,1615.8,782.11112996,1263735.163789368
1674367200,2023-01-22 06:00:00,ETH/USD,1627.6,1631.6,1626.6,1629.0,289.33046515,471319.32772935
1674381600,2023-01-22 10:00:00,ETH/USD,1624.8,1627.8,1621.0,1626.0,190.88933862,310386.06459612
1674396000,2023-01-22 14:00:00,ETH/USD,1632.7,1645.5,1631.1,1643.5,375.23640483,616701.0313381051
1674410400,2023-01-22 18:00:00,ETH/USD,1656.8,1659.8,1646.4,1646.6,1061.50178829,1747868.8445983138
1674424800,2023-01-22 22:00:00,ETH/USD,1628.2,1629.9,1622.0,1629.6,190.68856993,310746.093557928
1674439200,2023-01-23 02:00:00,ETH/USD,1636.5,1641.0,1636.5,1641.0,156.010143,256012.644663
1674453600,2023-01-23 06:00:00,ETH/USD,1632.9,1638.2,1631.4,1636.3,41.96278738,68663.708989894
1674468000,2023-01-23 10:00:00,ETH/USD,1634.6,1639.8,1633.9,1637.5,135.8135726,222394.7251325
1674482400,2023-01-23 14:00:00,ETH/USD,1622.2,1647.7,1584.4,1599.6,1817.68923303,2907575.697154788
1674496800,2023-01-23 18:00:00,ETH/USD,1629.0,1640.6,1626.5,1628.8,1174.24807249,1912615.260471712
1674511200,2023-01-23 22:00:00,ETH/USD,1632.6,1635.6,1622.5,1627.3,745.07718158,1212464.097585134
1674525600,2023-01-24 02:00:00,ETH/USD,1638.5,1641.4,1635.4,1635.4,635.38214074,1039103.952966196
1674540000,2023-01-24 06:00:00,ETH/USD,1638.1,1638.3,1635.3,1636.5,841.5678475,1377225.78243375
1674554400,2023-01-24 10:00:00,ETH/USD,1617.5,1626.4,1617.4,1623.7,298.14126402,484091.970389274
1674568800,2023-01-24 14:00:00,ETH/USD,1616.2,1622.2,1602.2,1613.6,1229.39402263,1983750.194915768
